Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
Tbea,China,CHN,Coal Mining,No,unlisted,CNE000000RB8,6003973,01/12/2024,04/03/2024,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tbea,China,CHN,Coal Mining,No,unlisted,CNE000000RB8,6003973,01/11/2023,01/03/2023,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TechnipFMC,United States of America,USA,Oil & Gas (Other),No,small,GB00BDSFG982,BDSFG98,01/12/2024,05/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Techtronic Industries,Hong Kong,HKG,Consumer Goods,No,large,HK0669013440,B0190C7,01/12/2024,29/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Teck Resources (Coal Mining),Canada,CAN,Coal Mining,Yes,medium,CA8787422044,2879327;2124533,01/12/2024,05/03/2024,4,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
Teck Resources (Coal Mining),Canada,CAN,Coal Mining,Yes,medium,CA8787422044,2879327;2124533,01/11/2023,10/03/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Teck Resources (Diversified mining),Canada,CAN,Diversified Mining,No,medium,CA8787422044,2879327;2124533,01/12/2024,03/05/2024,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
Teck Resources (Diversified mining),Canada,CAN,Diversified Mining,No,medium,CA8787422044,2879327;2124533,01/11/2023,10/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Teijin,Japan,JPN,Chemicals,No,medium,JP3544000007,6880507,01/12/2024,26/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Teijin,Japan,JPN,Chemicals,No,medium,JP3544000007,6880507,01/11/2023,04/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Telecom Italia,Italy,ITA,Telecommunications,No,medium,IT0003497168,7634394,01/12/2024,05/03/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Teledyne Tech,United States of America,USA,Industrials,No,medium,US8793601050,2503477,01/12/2024,30/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Teleflex,United States of America,USA,Health Care,No,medium,US8793691069,2881407,01/12/2024,30/04/2024,2,new,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Telefonaktiebolet LM Ericsson,Sweden,SWE,Technology,No,large,SE0000108656,5959378,01/12/2024,05/03/2024,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
Telefonica,Spain,ESP,Telecommunications,No,large,ES0178430E18,5732524,01/12/2024,05/03/2024,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
Telefonica,Spain,ESP,Telecommunications,No,large,ES0178430E18,5732524,01/11/2023,25/04/2023,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Telenor,Norway,NOR,Telecommunications,No,medium,NO0010063308,4732495,01/12/2024,05/03/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Teleperformance,France,FRA,Industrials,No,medium,FR0000051807,5999330,01/12/2024,30/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Telstra Group,Australia,AUS,Telecommunications,No,large,AU000000TLS2,6087289,01/12/2024,05/01/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Telus Corporation,Canada,CAN,Telecommunications,No,medium,CA87971M1032,2381093,01/12/2024,05/03/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
Tenaga Nasional,Malaysia,MYS,Electricity Utilities,No,large,MYL5347OO009,6904612,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No
Tenaga Nasional,Malaysia,MYS,Electricity Utilities,No,large,MYL5347OO009,6904612,01/11/2023,10/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Not Applicable,Yes,No,No,Yes,No,Yes,No,No,No,No,No
Tenaris,Italy,ITA,Steel,No,large,LU0156801721,7538515,01/12/2024,30/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,Yes,Yes,No,No,No,No,No
Tenaris,Italy,ITA,Steel,No,large,LU0156801721,7538515,01/11/2023,25/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No
Tencent,China,CHN,Technology,No,large,KYG875721634,BMMV2K8,01/12/2024,19/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,Yes,No,No,No,No,No
Tencent,China,CHN,Technology,No,large,KYG875721634,BMMV2K8,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,Yes,No,No,No
Tenet Healthcare,United States of America,USA,Health Care,No,small,US88033G4073,B8DMK08,01/12/2024,30/04/2024,1,new,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Terna,Italy,ITA,Electricity Utilities,No,medium,IT0003242622,B01BN57,01/12/2024,05/03/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Terna,Italy,ITA,Electricity Utilities,No,medium,IT0003242622,B01BN57,01/11/2023,19/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
Terumo Corp,Japan,JPN,Health Care,No,large,JP3546800008,6885074,01/12/2024,26/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Tesco,United Kingdom,GBR,Consumer Services,No,large,GB00BLGZ9862,BLGZ986,01/12/2024,05/03/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
Tesla,United States of America,USA,Autos,No,large,US88160R1014,B616C79,01/12/2024,30/04/2024,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Tesla,United States of America,USA,Autos,No,large,US88160R1014,B616C79,01/11/2023,17/04/2023,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Teva Pharmaceutical,Israel,ISR,Health Care,No,large,IL0006290147,6882172,01/12/2024,19/04/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes
Texas Instruments,United States of America,USA,Technology,No,large,US8825081040,2885409,01/12/2024,30/04/2024,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Texas Instruments,United States of America,USA,Technology,No,large,US8825081040,2885409,01/11/2023,25/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Texas Roadhouse,United States of America,USA,Consumer Services,No,small,US8826811098,B033TJ7,01/12/2024,04/03/2024,1,new,Yes,No,No,No,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Textron,United States of America,USA,Industrials,No,medium,US8832031012,2885937,01/12/2024,18/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
Textron,United States of America,USA,Industrials,No,medium,US8832031012,2885937,01/11/2023,05/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
Thai Oil,Thailand,THA,Oil & Gas (Other),No,medium,TH0796010R11,#N/A,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Thales,France,FRA,Industrials,No,large,FR0000121329,4162791,01/12/2024,10/04/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
The Cigna Group,United States of America,USA,Health Care,No,large,US1255231003,BHJ0775,01/12/2024,05/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
The Lottery,Australia,AUS,Consumer Services,No,large,AU0000219529,BNRQW72,01/12/2024,29/04/2024,1,new,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
The Saudi National Bank,Saudi Arabia,SAU,Financials,No,large,SA13L050IE10,BSHYYN1,01/12/2024,30/04/2024,1,new,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Not Applicable,Yes,No,No,No,No,No,No,Yes,No,No,No
Thermo Fisher Scientific,United States of America,USA,Health Care,No,large,US8835561023,2886907,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Thermo Fisher Scientific,United States of America,USA,Health Care,No,large,US8835561023,2886907,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Thomson Reuters,Canada,CAN,Consumer Services,No,large,CA8849037095,#N/A,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
Thungela Resources,South Africa,ZAF,Coal Mining,No,small,ZAE000296554,BMV3M27,01/12/2024,30/04/2024,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Thungela Resources,South Africa,ZAF,Coal Mining,No,small,ZAE000296554,BMV3M27,01/11/2023,25/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
ThyssenKrupp,Germany,DEU,Steel,Yes,large,DE0007500001,5636927,01/12/2024,05/01/2024,4,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
ThyssenKrupp,Germany,DEU,Steel,Yes,large,DE0007500001,5636927,01/11/2023,19/04/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Tianma Microelectronics,China,CHN,Industrials,No,medium,CNE000000HT1,6823740,01/12/2024,05/01/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Tianneng Battery Group,China,CHN,Consumer Goods,No,medium,CNE100004C29,BNM3RY0,01/12/2024,04/04/2024,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Tianqi Lithium,China,CHN,Basic Materials,No,large,CNE100000T32,B52KSP3,01/12/2024,30/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not Applicable,No,No,No,Yes,No,No,No,No,No,No,No
Timken Co,United States of America,USA,Industrials,No,small,US8873891043,2892807,01/12/2024,25/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,Yes,No,No,No,No,No,No,No,No
Tobu Railway,Japan,JPN,Consumer Services,No,medium,JP3597800006,6895169,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Tofas,Turkey,TUR,Autos,No,large,TRATOASO91H3,B03MY33,01/12/2024,18/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
Tofas,Turkey,TUR,Autos,No,large,TRATOASO91H3,B03MY33,01/11/2023,19/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Tohoku Elec Power,Japan,JPN,Electricity Utilities,No,large,JP3605400005,6895266,01/12/2024,05/02/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Tohoku Elec Power,Japan,JPN,Electricity Utilities,No,large,JP3605400005,6895266,01/11/2023,29/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Tokio Marine Holdings,Japan,JPN,Financials,No,large,JP3910660004,6513126,01/12/2024,26/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Tokushu Tokai Paper,Japan,JPN,Paper,No,small,JP3624900001,B1TK212,01/12/2024,26/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Tokushu Tokai Paper,Japan,JPN,Paper,No,small,JP3624900001,B1TK212,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No
Tokuyama,Japan,JPN,Cement,No,medium,JP3625000009,6895761,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Tokuyama,Japan,JPN,Cement,No,medium,JP3625000009,6895761,01/11/2023,26/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Tokyo Electron,Japan,JPN,Technology,No,large,JP3571400005,6895675,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Tokyo Gas,Japan,JPN,Oil & Gas Distribution,No,large,JP3573000001,6895448,01/12/2024,05/01/2024,4,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes
Tokyo Gas,Japan,JPN,Oil & Gas Distribution,No,large,JP3573000001,6895448,01/11/2023,25/04/2023,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Tokyo Steel Manufacturing,Japan,JPN,Steel,No,small,JP3579800008,6895879,01/12/2024,05/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Tokyo Steel Manufacturing,Japan,JPN,Steel,No,small,JP3579800008,6895879,01/11/2023,30/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Tokyu Corp,Japan,JPN,Consumer Services,No,large,JP3574200006,6896548,01/12/2024,30/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
Tokyu Fudosan Holdings,Japan,JPN,Financials,No,medium,JP3569200003,BDC6LT2,01/12/2024,26/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
Toll Brothers,United States of America,USA,Consumer Goods,No,small,US8894781033,2896092,01/12/2024,30/04/2024,2,new,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Tongkun Group,China,CHN,Chemicals,No,large,CNE1000012X7,B5MK3F8,01/12/2024,30/04/2024,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tongling Nonferrous Metals,China,CHN,Basic Materials,No,large,CNE000000529,6040550,01/12/2024,30/04/2024,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Tongwei,China,CHN,Food Producers,No,large,CNE000001GS3,6743815,01/12/2024,04/05/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No
Toppan Holdings,Japan,JPN,Industrials,No,medium,JP3629000005,6897024,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Toray Industries,Japan,JPN,Chemicals,Yes,large,JP3621000003,6897143,01/12/2024,05/01/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Toray Industries,Japan,JPN,Chemicals,Yes,large,JP3621000003,6897143,01/11/2023,03/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Toro,United States of America,USA,Industrials,No,small,US8910921084,2897040,01/12/2024,30/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Toronto-Dominion,Canada,CAN,Financials,No,large,CA8911605092,2897222,01/12/2024,05/04/2024,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Torrent Power,India,IND,Electricity Utilities,No,medium,INE813H01021,B1JLL30,01/12/2024,20/03/2024,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Torrent Power,India,IND,Electricity Utilities,No,medium,INE813H01021,B1JLL30,01/11/2023,24/04/2023,1,new,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Toshiba,Japan,JPN,Consumer Goods,No,large,JP3592200004,6897217,01/11/2023,04/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Tosoh,Japan,JPN,Cement,No,medium,JP3595200001,6900289,01/12/2024,26/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
Tosoh,Japan,JPN,Cement,No,medium,JP3595200001,6900289,01/11/2023,25/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No
TotalEnergies,France,FRA,Oil & Gas,Yes,large,FR0000120271,B15C557;B128WJ1,01/12/2024,05/04/2024,5,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
TotalEnergies,France,FRA,Oil & Gas,Yes,large,FR0000120271,B15C557;B128WJ1,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No
Toto,Japan,JPN,Industrials,No,medium,JP3596200000,6897466,01/12/2024,26/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
Tourmaline Oil,Canada,CAN,Oil & Gas,No,medium,CA89156V1067,B3QJ0H8,01/12/2024,04/05/2024,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
Toyo Seikan Group,Japan,JPN,Steel,No,medium,JP3613400005,6900267,01/12/2024,22/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
Toyo Seikan Group,Japan,JPN,Steel,No,medium,JP3613400005,6900267,01/11/2023,01/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Toyo Suisan Kaisha,Japan,JPN,Food Producers,No,medium,JP3613000003,6899967,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Toyo Suisan Kaisha,Japan,JPN,Food Producers,No,medium,JP3613000003,6899967,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
Toyota,Japan,JPN,Autos,Yes,large,JP3633400001,6900643;0851435,01/12/2024,26/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Toyota,Japan,JPN,Autos,Yes,large,JP3633400001,6900643;0851435,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Toyota Industries,Japan,JPN,Consumer Goods,No,large,JP3634600005,6900546,01/12/2024,26/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Toyota Tsusho,Japan,JPN,Coal Mining,No,large,JP3635000007,6900580,01/12/2024,28/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No
